file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NS_M0359_0246_1635981_to_1638984,ལ་སོ་ཨེ་ནས་རྗེས་མའི་གི་སྒྲ་འཇུག་ནང་སླར་ཡང་མཇལ་ཡོང་བཀྲ་ཤིས་བདེ་ལེགས།  ,la so e nas rjes ma'i gi sgra 'jug nang slar yang mjal yong bkra shis bde legs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0359_0246_1635981_to_1638984.wav,STT_NS,3,69,3.003,wav16k/STT_NS_M0359_0246_1635981_to_1638984.wav,ལགས་སོ་ཨེ་ནས་རྗེས་མའི་ི་སྒྲ་འཇུག་ནང་སླར་ཡང་མཇལ་ཡོང་བཀྲ་ཤིས་བདེ་ལེགས།
STT_NS_M0360_0008_36680_to_44803,ང་ཏག་ཏག་གྲོགས་མོ་འདྲ་བོ་དྲན་པ་སོས་འདྲ་བོ་བྱས་སོང་ད་ཨ་ལྟ་ཡོད་བ། ཨོ་དེ་བྱས་ནས་ཨེ་ནས་ང་གིས་ད་ཨ་ལྟ་བརྗོད་གཞི་དེ་ང་ག་རེ་བཤད་སྙིང་བྲོ་སོང་ལབ་ན་རཱ།  ,nga tag tag grogs mo 'dra bo dran pa sos 'dra bo byas song da a lta yod ba/_o de byas nas e nas nga gis da a lta brjod gzhi de nga ga re bshad snying bro song lab na rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0360_0008_36680_to_44803.wav,STT_NS,3,142,8.123,wav16k/STT_NS_M0360_0008_36680_to_44803.wav,ང་ཏག་ཏག་གྲོགས་མོ་འདྲ་བོ་དྲན་པ་གསོས་འདྲ་བོ་བྱས་སོང་ད་ད་ལྟ་ཡོད་བ། ཨོ་དེ་བྱས་ནས་ཨེ་ནས་ང་གིས་ད་ད་ལྟ་བརྗོད་གཞི་དེ་ང་ག་རེ་བཤད་སྙིང་བྲོ་སོང་ལབ་ན་རཱ།
STT_NS_M0359_0240_1604121_to_1608319,ག་ལབ་དགོས་རེད། ཨོ་བྱས་ནས་ད་གཟུགས་པོ་ལ་བྷི་ཨེ་འདྲའི་ཁྱད་པར་ཆེན་པོ་དཔེ་འདུག་བ་ད་ག་ལབ་དགོས་རེད་གཅིག ,ga lab dgos red/_o byas nas da gzugs po la b+hi e 'dra'i khyad par chen po dpe 'dug ba da ga lab dgos red gcig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0359_0240_1604121_to_1608319.wav,STT_NS,3,97,4.198,wav16k/STT_NS_M0359_0240_1604121_to_1608319.wav,ག་ལབ་དགོས་རེད། ཨོ་དེ་བྱས་ནས་ད་གཟུགས་པོ་ལ་པེ་ཨེ་འདྲའི་ཁྱད་པར་ཆེན་པོ་དཔེ་འདུག་བ་ད་ག་ར་ལབ་དགོས་རེད་ཅིག
STT_NS_M0359_0241_1608865_to_1612500,ཨེ་རྔུལ་ནག་མང་པོ་དོན་མྱི་འདྲ་བོ་དང་ཡང་རྔུལ་ནག་རིགས་ཉུང་ཉུང་དོན་མྱི་འདྲ་བོ་དང་།  ,e rngul nag mang po don myi 'dra bo dang yang rngul nag rigs nyung nyung don myi 'dra bo dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0359_0241_1608865_to_1612500.wav,STT_NS,3,80,3.635,wav16k/STT_NS_M0359_0241_1608865_to_1612500.wav,རྔུལ་ནག་མང་པོ་དོན་མྱི་འདྲ་བོ་དང་། ཡང་རྔུལ་ནག་རིགས་ཉུང་ཉུང་དོན་མྱི་འདྲ་བོ་དང་།
STT_AB00165_0096_306002_to_307875,ཤེས་བཞིན་མེད་པའི་ཆོམ་རྐུན་དག།  ,shes bzhin med pa'i chom rkun dag/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00165_0096_306002_to_307875.wav,STT_AB,3,31,1.873,wav16k/STT_AB00165_0096_306002_to_307875.wav,ཤེས་བཞིན་མེད་པས་ཅོམ་རྐུན་དག།
STT_AB00165_0097_309209_to_311166,དྲན་པ་ཉམས་པའི་རྗེས་འབྲང་བས།  ,dran pa nyams pa'i rjes 'brang bas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00165_0097_309209_to_311166.wav,STT_AB,3,29,1.957,wav16k/STT_AB00165_0097_309209_to_311166.wav,དྲན་པ་ཉམས་པའི་རྗེས་འབྲང་བའས།
STT_NS_M0359_0242_1615998_to_1618387,ཨོ་བྱས་ནས་ད་ཨོ་འདི་འདྲ་བོ་ཅིག་ལབ་སྙིང་འགྲོ་སོང་ཡང་ང་ཚོ་གི་ད།  ,o byas nas da o 'di 'dra bo cig lab snying 'gro song yang nga tsho gi da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0359_0242_1615998_to_1618387.wav,STT_NS,3,62,2.389,wav16k/STT_NS_M0359_0242_1615998_to_1618387.wav,ཨོ་བྱས་ནས་ད་ང་ཨོ་དེ་འདྲ་བོ་ཅིག་ལབ་སྙིང་བྲོ་སོང་ཡང་ང་ཚོ་གི་ད།
STT_TT00705_0047_289940_to_296884,དངོས་སུ་མ་ཐོབ་ན་ཡང་ཐོབ་པའི་སྣོད་དུ་རུང་བ་དེ། ད་ལྟ་ཚོགས་གསག་པ་ད་སྒྲིབ་པ་སྦྱངས་བ། དབང་གྲལ་ལ་འཇུག་པ། དེ་ནས་ཐུན་མོང་གི་ ཨ།  ,dngos su ma thob na yang thob pa'i snod du rung ba de/_da lta tshogs gsag pa da sgrib pa sbyangs ba/_dbang gral la 'jug pa/_de nas thun mong gi _a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00705_0047_289940_to_296884.wav,STT_TT,3,120,6.944,wav16k/STT_TT00705_0047_289940_to_296884.wav,དངོས་སུ་མ་ཐོབ་ན་ཡང་ཐོབ་པའི་སྣོད་དུ་རུང་བ་དེ། ད་ལྟ་ཚོགས་བསགས་པ་དང་སྒརིག་པ་སྦྱང་བ། དབང་གྲལ་ལ་འཇུག་པ། དེ་ནས་ཐུན་མོང་གི་ཨ།
STT_NS_M0360_0002_4240_to_9325,དེ་རིང་ཨེ་ནས་ད་ང་གིས་ག་རེའི་སྐོར་ལ་བཤད་ཡ་ཡིན་ལབ་ན་རཱ། ད་ལྟ་ང་ཨེ་འདྲའི་བསྡད་བསྡད་ཡོད་བ་ང་རང་གཅིག་པུ་གཅིག་ཡོད་བ།  ,de ring e nas da nga gis ga re'i skor la bshad ya yin lab na rA/_da lta nga e 'dra'i bsdad bsdad yod ba nga rang gcig pu gcig yod ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0360_0002_4240_to_9325.wav,STT_NS,3,112,5.085,wav16k/STT_NS_M0360_0002_4240_to_9325.wav,དེ་རིང་ཨེ་ནས་ད་ང་གིས་ག་རེའི་སྐོར་ལ་བཤད་ཡ་ཡིན་ལབ་ན་རཱ། ད་ལྟ་ང་ཨེ་འདྲའི་བསྡད་བསྡད་ཡོད་བ་ང་རང་གཅིག་པུ་གཅིག་ཡོད་བ།
STT_TT00750_0172_932568_to_938011,སྐྱེས་ཙམ་ཉིད་ནས་སྐྱེ་བ་མེད། ཨེ་མ་ངོ་མཚར་རྨད་བྱུང་མཆོག། རྫོགས་པའི་སངས་རྒྱས་ཀུན་གྱི་གསང་། གནས་པ་མེད་ལས་ཐམས་ཅད་གནས།  ,skyes tsam nyid nas skye ba med/_e ma ngo mtshar rmad byung mchog/_rdzogs pa'i sangs rgyas kun gyi gsang /_gnas pa med las thams cad gnas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00750_0172_932568_to_938011.wav,STT_TT,3,114,5.443,wav16k/STT_TT00750_0172_932568_to_938011.wav,སྐྱེས་ཙམ་ཉིད་ནི་སྐྱེ་བ་མེད། ཨེར་མ་ངོ་མཚར་རྨད་བྱུང་ཆོག། རྫོགས་པའི་སངས་རྒྱས་ཀུན་གྱིས་སངས། གནས་པ་མེད་ལས་ཐམས་ཅད་གནས།
